,Kids,Online_Activity,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Income_less_than_30k,Income_from_30k_to_50k,Income_from_50k_to_75k,Income_above_75k,birth_older_than_1960,birth_from_1960_to_1975,birth_younger_than_1975
37,0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
38,0,0.18181818181818182,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
39,1,0.29411764705882354,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
40,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
41,1,0.4782608695652174,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
42,0,0.6153846153846154,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
43,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
44,1,0.3333333333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
45,0,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
46,1,0.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
47,1,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
48,1,0.4666666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
49,1,0.6363636363636364,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
50,1,0.25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
51,0,0.4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
52,1,0.3333333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
53,0,0.4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
54,1,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
55,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
56,1,0.25,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
57,1,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
58,0,0.13333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
59,1,0.2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
60,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
61,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
62,1,0.42857142857142855,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
63,1,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
64,1,0.38461538461538464,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
65,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
66,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
67,0,0.3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
68,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
69,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
70,0,0.4166666666666667,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
71,1,0.6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
72,1,0.45454545454545453,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
73,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
74,1,0.13333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
75,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
76,1,0.6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
77,0,0.5555555555555556,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
78,0,0.3157894736842105,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
79,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
80,0,0.36363636363636365,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
81,0,0.36363636363636365,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
82,1,0.5,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
83,1,0.35294117647058826,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
84,1,0.3333333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
85,1,0.25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
86,0,0.25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
87,1,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
88,0,0.6153846153846154,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
89,1,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
90,1,0.14285714285714285,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
91,1,0.3684210526315789,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
92,1,0.25,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
93,0,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
94,1,0.29411764705882354,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
95,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
96,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
97,1,0.5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
98,1,0.6153846153846154,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
99,1,0.3076923076923077,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
100,1,0.35294117647058826,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
101,0,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
102,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
103,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
104,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
105,1,0.23076923076923078,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
106,1,0.23076923076923078,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
107,0,0.5333333333333333,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
108,0,0.6153846153846154,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
109,0,0.4666666666666667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
110,1,0.5,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
111,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
112,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
113,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
114,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
115,1,0.3888888888888889,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
116,1,0.3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
117,1,0.3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
118,0,0.1875,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
119,1,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
120,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
121,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
122,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
123,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
124,0,0.5,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
125,1,0.5454545454545454,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
126,1,0.5555555555555556,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
127,1,0.5555555555555556,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
128,0,0.25,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
129,1,0.38461538461538464,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
130,1,0.38461538461538464,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
131,1,0.4782608695652174,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
132,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
133,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
134,1,0.4666666666666667,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
135,0,0.45454545454545453,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
136,1,0.42857142857142855,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
137,0,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
138,0,0.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
139,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
140,1,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
141,0,0.375,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
142,0,0.3157894736842105,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
143,1,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
144,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
145,0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
146,1,0.4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
147,1,0.4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
148,1,0.25,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
149,1,0.5882352941176471,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
150,1,0.5882352941176471,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
151,1,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
152,0,0.16666666666666666,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
153,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
154,1,0.5454545454545454,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
155,1,0.42857142857142855,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
156,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
157,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
158,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
159,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
160,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
161,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
162,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
163,0,0.3157894736842105,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
164,1,0.36363636363636365,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
165,0,0.5714285714285714,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
166,0,0.2727272727272727,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
167,1,0.4375,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
168,1,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
169,1,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
170,0,0.4782608695652174,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
171,1,0.1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
172,1,0.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
173,0,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
174,0,0.38461538461538464,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
175,0,0.16666666666666666,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
176,1,0.5714285714285714,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
177,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
178,1,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
179,1,0.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
180,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
181,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
182,1,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
183,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
184,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
185,1,0.5555555555555556,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
186,1,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
187,1,0.375,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
188,0,0.38461538461538464,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
189,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
190,0,0.25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
191,0,0.3157894736842105,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
192,1,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
193,1,0.47058823529411764,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
194,1,0.6,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
195,1,0.2857142857142857,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
196,0,0.45454545454545453,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
197,1,0.4666666666666667,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
198,1,0.23076923076923078,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
199,1,0.35294117647058826,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
200,1,0.4117647058823529,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
201,1,0.5454545454545454,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
202,1,0.35,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
203,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
204,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
205,1,0.5454545454545454,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
206,1,0.42857142857142855,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
207,1,0.4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
208,0,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
209,0,0.5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
210,0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
211,1,0.3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
212,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
213,1,0.3333333333333333,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
214,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
215,1,0.25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
216,1,0.5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
217,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
218,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
219,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
220,1,0.3333333333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
221,1,0.3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
222,0,0.5384615384615384,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
223,0,0.5384615384615384,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
224,1,0.7142857142857143,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
225,0,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
226,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
227,0,0.23529411764705882,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
228,1,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
229,1,0.5555555555555556,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
230,0,0.5555555555555556,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
231,1,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
232,1,0.5833333333333334,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
233,1,0.3333333333333333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
234,1,0.4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
235,1,0.3333333333333333,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
236,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
237,1,0.3333333333333333,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
238,0,0.4375,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
239,1,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
240,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
241,1,0.3333333333333333,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
242,1,0.4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
243,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
244,1,0.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
245,1,0.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
246,1,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
247,1,0.38461538461538464,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
248,1,0.35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
249,1,0.35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
250,1,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
251,1,0.5555555555555556,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
252,1,0.4,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
253,0,0.625,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
254,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
255,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
256,0,0.6470588235294118,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
257,0,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
258,0,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
259,0,0.15384615384615385,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
260,1,0.4166666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
261,0,0.3333333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
262,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
263,1,0.5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
264,1,0.6363636363636364,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
265,1,0.5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
266,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
267,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
268,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
269,1,0.35714285714285715,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
270,1,0.42857142857142855,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
271,0,0.25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
272,1,0.6111111111111112,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
273,1,0.375,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
274,1,0.35714285714285715,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
275,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
276,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
277,0,0.42857142857142855,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
278,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
279,1,0.4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
280,1,0.4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
281,1,0.6,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
282,1,0.6,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
283,1,0.14285714285714285,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
284,1,0.6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
285,1,0.5,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
286,1,0.42857142857142855,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
287,1,0.42857142857142855,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
288,1,0.4166666666666667,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
289,0,0.3333333333333333,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
290,1,0.3333333333333333,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
291,0,0.7333333333333333,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
292,1,0.3888888888888889,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
293,0,0.6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
294,1,0.6,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
295,0,0.13333333333333333,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
296,0,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
297,0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
298,1,0.5882352941176471,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
299,1,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
300,0,0.21428571428571427,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
301,0,0.21428571428571427,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
302,1,0.38095238095238093,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
303,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
304,0,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
305,0,0.46153846153846156,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
306,1,0.4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
307,0,0.5555555555555556,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
308,0,0.4444444444444444,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
309,1,0.4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
310,0,0.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
311,0,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
312,1,0.4,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
313,1,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
314,1,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
315,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
316,0,0.4166666666666667,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
317,0,0.3076923076923077,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
318,1,0.25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
319,0,0.375,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
320,1,0.2727272727272727,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
321,1,0.3333333333333333,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
322,1,0.25,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
323,0,0.3333333333333333,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
324,1,0.5714285714285714,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
325,0,0.39693468715465546,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
326,0,0.29411764705882354,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
327,1,0.5714285714285714,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
328,1,0.4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
329,1,0.4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
330,0,0.4444444444444444,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
331,1,0.25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
332,1,0.25,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
333,1,0.3333333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
334,1,0.5333333333333333,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
