,Kids,Online_Activity,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Income_less_than_30k,Income_from_30k_to_50k,Income_from_50k_to_75k,Income_above_75k,birth_older_than_1960,birth_from_1960_to_1975,birth_younger_than_1975,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
16,1,0.2857142857142857,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,63,6,57,13,13,22
17,1,0.25,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,18,0,2,0,0,2
18,1,0.4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,53,1,5,2,1,10
19,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,5,0,3,0,0,5
20,1,0.5,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,213,9,76,4,3,30
21,1,0.38461538461538464,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,275,11,68,25,7,7
22,1,0.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,40,2,23,0,4,23
23,1,0.38461538461538464,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,308,0,73,0,0,23
24,1,0.5714285714285714,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,266,21,300,65,8,44
25,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,80,1,37,0,1,3
26,1,0.5294117647058824,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,454,0,171,8,19,32
27,1,0.5294117647058824,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,454,0,171,8,19,32
28,1,0.4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,27,0,12,0,1,5
29,0,0.45454545454545453,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,184,174,256,50,30,32
30,1,0.5,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,155,7,80,13,7,10
31,0,0.3076923076923077,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,423,42,706,73,197,197
32,1,0.3333333333333333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7,0,1,0,0,0
33,1,0.5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,408,0,21,0,0,17
34,0,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,12,9,0,14,7
35,0,0.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1285,21,449,106,20,20
36,0,0.13333333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,71,22,112,138,89,29
37,0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,7,1,6,0,3,3
38,0,0.18181818181818182,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1248,16,349,43,16,16
39,1,0.29411764705882354,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,378,0,189,97,172,172
40,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,12,2,17,6,1,10
41,1,0.4782608695652174,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1200,0,204,38,29,14
42,0,0.6153846153846154,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,709,45,115,30,160,45
43,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,94,1,33,13,12,12
44,1,0.3333333333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,2,12,7,5,26
45,0,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,539,169,816,20,0,30
46,1,0.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,13,3,6,6,5,6
47,1,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,670,9,249,0,28,9
48,1,0.4666666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,158,35,179,0,0,125
49,1,0.6363636363636364,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,283,10,38,0,13,27
50,1,0.25,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,13,3,8,7,4,16
51,0,0.4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,496,36,460,189,60,12
52,1,0.3333333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,12,0,4,0,0,1
53,0,0.4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,292,51,981,224,23,17
54,1,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7,10,13,16,0,4
55,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,46,0,12,0,2,23
56,1,0.25,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,34,0,7,0,0,0
57,1,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,167,0,43,6,2,13
58,0,0.13333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,318,8,407,150,35,8
59,1,0.2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,522,0,257,32,16,66
60,0,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,67,11,26,4,3,262
61,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,28,0,4,0,0,0
62,1,0.42857142857142855,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,58,0,18,2,0,10
63,1,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,4,9,0,4,5
64,1,0.38461538461538464,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,229,7,140,10,3,11
65,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,14,0,16,0,0,6
66,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,622,7,115,30,0,15
67,0,0.3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,362,50,431,134,35,54
68,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,38,4,22,3,3,3
69,1,0.5,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,38,4,22,3,3,3
70,0,0.4166666666666667,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1074,37,518,193,92,129
71,1,0.6,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,983,76,184,180,138,27
72,1,0.45454545454545453,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,262,6,61,0,10,102
73,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,17,26,20,1,39
74,1,0.13333333333333333,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,739,107,309,140,80,35
75,0,0.5,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,610,105,125,137,42,21
76,1,0.6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,50,4,28,6,3,26
77,0,0.5555555555555556,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1285,105,653,28,21,0
78,0,0.3157894736842105,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,650,37,780,27,167,32
79,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,9,1,2,3,2,0
80,0,0.36363636363636365,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,458,81,356,106,50,40
81,0,0.36363636363636365,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,458,81,356,106,50,40
82,1,0.5,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,292,6,37,0,3,34
83,1,0.35294117647058826,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,520,7,154,19,0,14
84,1,0.3333333333333333,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,14,0,1,0,0,1
85,1,0.25,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,4,7,15,8,11
86,0,0.25,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,8,6,4,8,16
87,1,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,20,3,16,0,4,1
88,0,0.6153846153846154,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,345,53,528,98,75,97
89,1,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,22,1,11,0,1,2
90,1,0.14285714285714285,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,42,11,57,10,28,14
91,1,0.3684210526315789,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,463,96,333,168,53,10
92,1,0.25,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4,1,7,2,1,2
93,0,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,260,86,559,63,9,67
94,1,0.29411764705882354,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,180,32,348,76,32,90
95,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,62,1,44,6,5,22
96,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,62,1,44,6,5,22
97,1,0.5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,67,1,20,0,2,31
98,1,0.6153846153846154,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,421,76,536,82,178,102
99,1,0.3076923076923077,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,154,22,202,39,30,8
100,1,0.35294117647058826,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,502,19,132,0,6,26
101,0,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,145,193,459,205,26,145
102,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,322,3,50,4,3,42
103,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,322,3,50,4,3,42
104,1,0.5384615384615384,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,322,3,50,4,3,42
105,1,0.23076923076923078,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1099,0,45,0,0,34
106,1,0.23076923076923078,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1099,0,45,0,0,34
107,0,0.5333333333333333,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,890,63,292,0,25,12
108,0,0.6153846153846154,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,863,83,547,86,99,33
109,0,0.4666666666666667,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,448,21,125,52,101,62
110,1,0.5,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,399,4,30,6,4,30
111,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,85,7,24,2,3,27
112,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,97,1,41,6,2,41
113,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,35,3,67,10,8,24
114,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,2,11,2,2,10
115,1,0.3888888888888889,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,315,35,322,46,7,143
116,1,0.3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,738,0,232,13,20,50
117,1,0.3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,738,0,232,13,20,50
118,0,0.1875,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,179,28,520,111,123,47
119,1,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,381,28,215,84,28,21
120,1,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,247,49,159,7,82,109
121,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,711,36,217,172,96,168
122,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,30,8,12,8,8,12
123,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,30,8,12,8,8,12
124,0,0.5,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,288,10,30,4,10,125
125,1,0.5454545454545454,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,212,6,69,4,12,3
126,1,0.5555555555555556,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,173,4,30,3,6,41
127,1,0.5555555555555556,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,604,0,100,19,0,28
128,0,0.25,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,482,34,471,119,68,22
129,1,0.38461538461538464,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,531,69,300,150,138,150
130,1,0.38461538461538464,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,531,69,300,150,138,150
131,1,0.4782608695652174,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,448,40,469,80,0,91
132,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,9,0,6,3,1,3
133,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,9,0,6,3,1,3
134,1,0.4666666666666667,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,230,42,192,49,37,53
135,0,0.45454545454545453,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,496,32,849,229,48,128
136,1,0.42857142857142855,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,33,4,24,4,2,5
137,0,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,784,48,560,42,176,48
138,0,0.4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,12,12,25,1,20
139,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,5,13,14,0,5,31
140,1,0.3333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4,1,5,2,0,4
141,0,0.375,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,600,20,350,29,30,33
142,0,0.3157894736842105,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,168,148,444,32,172,148
143,1,0.4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,493,26,206,116,80,80
144,1,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,6,5,4,13,4,25
145,0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,6,4,1,7,2,15
146,1,0.4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,12,5,3,16,17
147,1,0.4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,12,5,3,16,17
148,1,0.25,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,29,0,2,0,0,1
149,1,0.5882352941176471,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,520,8,223,32,49,42
150,1,0.5882352941176471,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,520,8,223,32,49,42
151,1,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,835,73,380,114,73,43
152,0,0.16666666666666666,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1296,17,311,45,69,51
153,1,0.3333333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,16,0,3,0,0,1
154,1,0.5454545454545454,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,760,80,466,17,13,80
155,1,0.42857142857142855,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,70,6,69,2,3,3
156,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,68,0,16,0,0,8
157,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,68,0,16,0,0,8
158,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,9,1,5,4,5,7
159,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,9,1,5,4,5,7
160,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,325,83,300,86,58,91
161,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,9,1,3,0,4,8
162,1,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,9,1,3,0,4,8
163,0,0.3157894736842105,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,303,23,751,82,26,191
164,1,0.36363636363636365,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,121,103,69,8,44,48
165,0,0.5714285714285714,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16,36,21,20,62,108
166,0,0.2727272727272727,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,561,64,785,84,128,48
167,1,0.4375,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,462,61,184,10,53,107
168,1,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,376,0,38,11,8,69
169,1,0.3333333333333333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,341,142,113,259,151,66
170,0,0.4782608695652174,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,595,97,291,127,133,121
171,1,0.1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,179,8,83,19,11,26
172,1,0.2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,23,4,5,10,5,23
173,0,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,530,117,678,134,44,147
174,0,0.38461538461538464,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,594,134,786,33,134,57
175,0,0.16666666666666666,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,852,60,207,78,36,48
176,1,0.5714285714285714,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,158,0,76,13,7,71
177,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,384,25,292,130,41,64
178,1,0.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,14,7,11,11,0,5
179,1,0.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,8,11,3,8,21
180,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,194,2,56,0,0,0
181,1,0.4,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,194,2,56,0,0,0
182,1,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,17,16,6,16,42
183,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,179,21,273,0,21,63
184,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,8,2,5,5
185,1,0.5555555555555556,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,216,2,6,0,0,9
186,1,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,16,0,23,3,2,10
187,1,0.375,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,428,30,214,80,30,61
188,0,0.38461538461538464,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1092,37,592,145,37,55
189,1,0.3333333333333333,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,10,0,7,2,0,1
190,0,0.25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,559,153,503,218,13,181
191,0,0.3157894736842105,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,606,148,228,15,148,22
192,1,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,11,5,22,12,5,11
193,1,0.47058823529411764,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,588,7,76,110,15,15
194,1,0.6,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,316,58,161,76,51,135
195,1,0.2857142857142857,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,279,83,88,32,14,34
196,0,0.45454545454545453,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1462,16,128,0,0,160
197,1,0.4666666666666667,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,546,0,48,0,6,6
198,1,0.23076923076923078,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,277,21,64,62,21,25
199,1,0.35294117647058826,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,948,10,86,13,21,21
200,1,0.4117647058823529,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,664,9,240,50,19,57
201,1,0.5454545454545454,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,268,11,88,15,3,22
202,1,0.35,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,530,142,217,62,9,56
203,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,199,33,60,8,3,15
204,1,0.5,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,199,33,60,8,3,15
205,1,0.5454545454545454,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,73,57,100,71,15,0
206,1,0.42857142857142855,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16,5,30,8,7,26
207,1,0.4,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,96,12,96,33,22,43
208,0,0.3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,587,51,898,247,0,86
209,0,0.5,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,56,19,29,2,14,25
210,0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,6,2,3,1,262,3
211,1,0.3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,158,11,99,15,11,17
212,1,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,8,20,0,17
213,1,0.3333333333333333,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,45,3,9,4,4,7
214,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,8,2,5,3,0,3
215,1,0.25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,12,6,2,11,2,16
216,1,0.5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,508,5,21,7,5,10
217,1,0.25,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,11,2,7,4,2,2
218,1,0.3333333333333333,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,234,14,77,19,10,42
219,0,0.5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,992,24,694,51,19,119
220,1,0.3333333333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,125,6,73,8,4,19
221,1,0.3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,174,18,81,28,6,24
222,0,0.5384615384615384,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1478,19,403,0,19,0
223,0,0.5384615384615384,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1478,19,403,0,19,0
224,1,0.7142857142857143,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,80,1,60,4,6,16
225,0,0.3333333333333333,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1001,12,240,16,12,12
226,1,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,392,5,91,28,26,112
227,0,0.23529411764705882,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,388,14,218,91,14,21
228,1,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,65,0,46,4,3,20
229,1,0.5555555555555556,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,177,2,71,3,2,20
230,0,0.5555555555555556,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,577,0,64,0,0,51
231,1,0.46153846153846156,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,460,35,422,33,12,153
232,1,0.5833333333333334,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,219,3,100,26,0,17
233,1,0.3333333333333333,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,5,0,3,0,0,1
234,1,0.4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,5,7,31,15,4,7
235,1,0.3333333333333333,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,31,1,13,7,2,9
236,1,0.5714285714285714,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,117,0,22,13,0,30
237,1,0.3333333333333333,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,30,5,24,6,3,8
238,0,0.4375,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,236,106,189,23,41,130
239,1,0.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6,4,14,8,8,22
240,0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,464,28,873,29,18,37
241,1,0.3333333333333333,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,16,2,18,3,0,24
242,1,0.4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,5,7,0,18,18
243,1,0.5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,120,58,73,65,89,58
244,1,0.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9,1,7,0,3,2
245,1,0.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9,1,7,0,3,2
246,1,0.5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,145,1,33,2,1,1
247,1,0.38461538461538464,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,200,19,111,50,15,19
248,1,0.35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,532,88,168,69,44,133
249,1,0.35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,532,88,168,69,44,133
250,1,0.25,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,30,0,10,2,0,5
251,1,0.5555555555555556,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,297,0,38,13,0,152
252,1,0.4,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,151,7,89,0,7,28
253,0,0.625,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,997,26,269,34,13,42
254,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,23,1,13,2,2,18
255,1,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,23,1,13,2,2,18
256,0,0.6470588235294118,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,797,153,293,72,97,30
